region,type,year,quarter,index_value
Středočeský kraj,Domy,2022,3,237.4
Jihočeský kraj,Domy,2022,3,222.8
Plzeňský kraj,Domy,2022,3,241.2
Karlovarský kraj,Domy,2022,3,185.1
Ústecký kraj,Domy,2022,3,225.3
Liberecký kraj,Domy,2022,3,213.6
Královéhradecký kraj,Domy,2022,3,216.9
Pardubický kraj,Domy,2022,3,218.2
Kraj Vysočina,Domy,2022,3,219.1
Jihomoravský kraj,Domy,2022,3,226
Olomoucký kraj,Domy,2022,3,224
Zlínský kraj,Domy,2022,3,211.4
Česká republika,Domy,2022,4,219.4
ČR bez Prahy,Domy,2022,4,223.6
Hlavní město Praha,Domy,2022,4,190
Středočeský kraj,Domy,2022,4,230.4
Jihočeský kraj,Domy,2022,4,209.5
Plzeňský kraj,Domy,2022,4,231.7
Karlovarský kraj,Domy,2022,4,183.5
Ústecký kraj,Domy,2022,4,222.4
Liberecký kraj,Domy,2022,4,225.5
Královéhradecký kraj,Domy,2022,4,222.8
Pardubický kraj,Domy,2022,4,214.2
Kraj Vysočina,Domy,2022,4,214.9
Jihomoravský kraj,Domy,2022,4,226.9
Olomoucký kraj,Domy,2022,4,227.6
Zlínský kraj,Domy,2022,4,215.2
Česká republika,Domy,2022,year,220
ČR bez Prahy,Domy,2022,year,223.8
Hlavní město Praha,Domy,2022,year,193.8
Středočeský kraj,Domy,2022,year,233.7
Jihočeský kraj,Domy,2022,year,220.9
Plzeňský kraj,Domy,2022,year,231.2
Karlovarský kraj,Domy,2022,year,186.8
Ústecký kraj,Domy,2022,year,223.3
Liberecký kraj,Domy,2022,year,219.2
Královéhradecký kraj,Domy,2022,year,219.6
Pardubický kraj,Domy,2022,year,214.5
Kraj Vysočina,Domy,2022,year,217.4
Jihomoravský kraj,Domy,2022,year,226.1
Olomoucký kraj,Domy,2022,year,223.2
Zlínský kraj,Domy,2022,year,207.6
Česká republika,Byty,2022,1,252.2
ČR bez Prahy,Byty,2022,1,259.6
Hlavní město Praha,Byty,2022,1,242.6
Středočeský kraj,Byty,2022,1,253.4
Jihočeský kraj,Byty,2022,1,267.3
Plzeňský kraj,Byty,2022,1,251
Karlovarský kraj,Byty,2022,1,226.8
