region,year,price,type
Brno-město,2019,57975,Rodinné domy
Brno-venkov,2019,36267,Rodinné domy
Břeclav,2019,32927,Rodinné domy
Hodonín,2019,28627,Rodinné domy
Vyškov,2019,32721,Rodinné domy
Znojmo,2019,30645,Rodinné domy
Olomoucký kraj,2019,28777,Rodinné domy
Jeseník,2019,25229,Rodinné domy
Olomouc,2019,33166,Rodinné domy
Prostějov,2019,28319,Rodinné domy
Přerov,2019,25312,Rodinné domy
Šumperk,2019,27063,Rodinné domy
Zlínský kraj,2019,28428,Rodinné domy
Kroměříž,2019,24607,Rodinné domy
Uherské Hradiště,2019,26940,Rodinné domy
Vsetín,2019,28449,Rodinné domy
Zlín,2019,32026,Rodinné domy
Moravskoslezský kraj,2019,31296,Rodinné domy
Bruntál,2019,25213,Rodinné domy
Frýdek-Místek,2019,32366,Rodinné domy
Karviná,2019,30680,Rodinné domy
Nový Jičín,2019,28797,Rodinné domy
Opava,2019,30683,Rodinné domy
Ostrava-město,2019,37854,Rodinné domy
Česká republika,2020,42763,Rodinné domy
Hlavní město Praha,2020,91986,Rodinné domy
Středočeský kraj,2020,55868,Rodinné domy
Benešov,2020,40685,Rodinné domy
Beroun,2020,43143,Rodinné domy
Kladno,2020,45687,Rodinné domy
Kolín,2020,39273,Rodinné domy
Kutná Hora,2020,36384,Rodinné domy
Mělník,2020,41318,Rodinné domy
Mladá Boleslav,2020,40794,Rodinné domy
Nymburk,2020,37713,Rodinné domy
Praha-východ,2020,78744,Rodinné domy
Praha-západ,2020,75499,Rodinné domy
Příbram,2020,38983,Rodinné domy
Rakovník,2020,35839,Rodinné domy
Jihočeský kraj,2020,38734,Rodinné domy
České Budějovice,2020,45061,Rodinné domy
Český Krumlov,2020,36262,Rodinné domy
Jindřichův Hradec,2020,36067,Rodinné domy
Písek,2020,32153,Rodinné domy
Prachatice,2020,34448,Rodinné domy
Strakonice,2020,34169,Rodinné domy
Tábor,2020,36431,Rodinné domy
Plzeňský kraj,2020,38120,Rodinné domy
Domažlice,2020,32080,Rodinné domy
Klatovy,2020,34206,Rodinné domy
Plzeň-jih,2020,33518,Rodinné domy
Plzeň-město,2020,55657,Rodinné domy
Plzeň-sever,2020,37501,Rodinné domy
Rokycany,2020,33478,Rodinné domy
Tachov,2020,33814,Rodinné domy
Karlovarský kraj,2020,33052,Rodinné domy
Cheb,2020,30952,Rodinné domy
Karlovy Vary,2020,37486,Rodinné domy
Sokolov,2020,30796,Rodinné domy
Ústecký kraj,2020,32690,Rodinné domy
Děčín,2020,30663,Rodinné domy
Chomutov,2020,33306,Rodinné domy
Litoměřice,2020,32097,Rodinné domy
Louny,2020,29597,Rodinné domy
Most,2020,36208,Rodinné domy
Teplice,2020,34177,Rodinné domy
Ústí nad Labem,2020,41501,Rodinné domy
Liberecký kraj,2020,39801,Rodinné domy
Česká Lípa,2020,35471,Rodinné domy
